id,x,y,邏輯樹,AbrahamsonEtAl2014,BooreAtkinson2008,CampbellBozorgnia2008,ChiouYoungs2008,LinLee2008SInter
2013,120.49752,23.26093,0.085641791,0.083454906,0.086657525,0.087649052,0.080453731,0.102745125
2014,120.49762,23.26993,0.084851994,0.066803642,0.090516081,0.089400877,0.060184561,0.112611015
2015,120.49773,23.27892,0.084411673,0.076268644,0.08355303,0.059340658,0.081111233,0.065924109
2016,120.49783,23.28791,0.081173314,0.057148718,0.0956895,0.065684767,0.057514764,0.097114681
2017,120.49793,23.29691,0.074559925,0.056674013,0.086279439,0.076615654,0.058953537,0.063673047
2018,120.49803,23.3059,0.078932514,0.063534007,0.08448119,0.069078808,0.06269645,0.096601139
2019,120.49813,23.31489,0.087536399,0.058923936,0.113165819,0.061694665,0.058796153,0.079146902
2020,120.49824,23.32389,0.07862355,0.067732886,0.082866491,0.056959873,0.064758138,0.075061252
2021,120.49834,23.33288,0.066200239,0.058046214,0.077835843,0.069262244,0.05868776,0.064379613
2022,120.49844,23.34187,0.07598317,0.065339847,0.088032491,0.069752176,0.044387836,0.050207326
2023,120.49854,23.35087,0.066236178,0.054018841,0.084700946,0.098747749,0.06319033,0.066362881
2024,120.49864,23.35986,0.078831306,0.075325697,0.082059418,0.074407196,0.067749031,0.07205636
2025,120.50477,23.0361,0.140074046,0.105813384,0.122653714,0.147298709,0.119921272,0.128046773
2026,120.50487,23.0451,0.160921517,0.118948412,0.133890532,0.106742399,0.121375543,0.194728891
2027,120.50497,23.05409,0.141630588,0.122684118,0.101680066,0.12745323,0.097673443,0.120873979
2028,120.50507,23.06308,0.145906744,0.113914536,0.128205789,0.116499743,0.131483771,0.13388676
2029,120.50517,23.07208,0.147488244,0.135971285,0.097925277,0.12814648,0.105144899,0.107498164
2030,120.50527,23.08107,0.14716341,0.1161248,0.117676483,0.11178897,0.105495222,0.137006447
2031,120.50538,23.09006,0.143172044,0.118634588,0.124851867,0.113047044,0.12295933,0.123280397
2032,120.50548,23.09906,0.133180107,0.099275908,0.124702772,0.100462238,0.115518273,0.138992635
2033,120.50558,23.10805,0.147970931,0.103687892,0.139852426,0.079107447,0.095950282,0.142427251
2034,120.50568,23.11704,0.151788611,0.120411273,0.133934287,0.098656931,0.072167193,0.123323487
2035,120.50578,23.12604,0.12002635,0.092852367,0.121857685,0.101503938,0.078116799,0.106293343
2036,120.50588,23.13503,0.147640342,0.122184163,0.143285546,0.071779585,0.081481283,0.102160488
2037,120.50598,23.14402,0.144858542,0.119123264,0.124165633,0.070677636,0.104251566,0.111902823
2038,120.50609,23.15302,0.096189022,0.082296166,0.084362718,0.098679708,0.066873187,0.116940899
2039,120.50619,23.16201,0.123809849,0.10873598,0.112675076,0.094671705,0.098123302,0.082410891
2040,120.50629,23.171,0.123247302,0.09755682,0.13141236,0.102239544,0.061936399,0.081972317
2041,120.50639,23.18,0.135580726,0.089054582,0.177646281,0.106197897,0.079210358,0.092308621
2042,120.50649,23.18899,0.101383517,0.092784771,0.093278293,0.090862818,0.073653687,0.089294326
2043,120.5066,23.19798,0.097183741,0.082922348,0.104364072,0.089027507,0.075392811,0.11874807
2044,120.5067,23.20698,0.099859571,0.077913088,0.107827302,0.086057688,0.082143801,0.085795926
2045,120.5068,23.21597,0.106846819,0.087093287,0.111139268,0.108755274,0.080779374,0.096996288
2046,120.5069,23.22496,0.117796266,0.106789665,0.126488937,0.088266571,0.08927304,0.104042877
2047,120.507,23.23396,0.081079071,0.059102743,0.096424815,0.066955993,0.078799262,0.088124393
2048,120.50711,23.24295,0.096381203,0.075640343,0.121510199,0.094980762,0.082573592,0.077836267
2049,120.50721,23.25194,0.106014036,0.069788806,0.142200735,0.07060408,0.069745778,0.072371398
2050,120.50731,23.26093,0.104842366,0.075730789,0.121089961,0.073173958,0.078177078,0.085742896
2051,120.50741,23.26993,0.088512783,0.056184598,0.116059049,0.059663141,0.058288612,0.10881516
2052,120.50752,23.27892,0.091483222,0.067795858,0.101378524,0.07883632,0.075025117,0.075989051
2053,120.50762,23.28791,0.092111778,0.073175332,0.103058773,0.049291118,0.056624886,0.061131991
2054,120.50772,23.29691,0.0994948,0.07336924,0.110549902,0.071169599,0.061170397,0.075789883
2055,120.50782,23.3059,0.073671709,0.067872057,0.072110412,0.082351951,0.045591584,0.057283655
2056,120.50793,23.31489,0.075963248,0.057344272,0.074667386,0.071809061,0.055223752,0.062109281
2057,120.50803,23.32389,0.074737791,0.067023676,0.070639499,0.059967417,0.086569472,0.084266867
2058,120.50813,23.33288,0.110461089,0.052294445,0.161827815,0.06460163,0.076149517,0.075455306
2059,120.50823,23.34187,0.063313697,0.048398712,0.070807655,0.058222879,0.059093448,0.071059552
2060,120.50844,23.35986,0.089175655,0.084315103,0.090408842,0.074522359,0.053889616,0.07395607
2061,120.51464,23.0451,0.196114571,0.102935826,0.208478022,0.094995512,0.132383123,0.150611042
